# M17 Hosts file generated by ./make-m17-host-file V#1.0.0
# Copyright (C) 2024 by Thomas A. Early, N7TAE.
# See the LICENSE file in https://github.com/n7tae/dht-ham-tools.
# Created on 06-01-2025 at 12:52 GMT
# Copied https://dvref.com/mrefd/json/?format=json
# Copied https://dvref.com/urfd/json/?format=json
# A null 'IPv4Address' or 'IPv6Address' means it's not configured.
# A null 'Modules' means it can't be determined.
#
# 'SpecialModules' for M17 reflectors will pass encrypted voice data.
# 'SpecialModules' for URF reflectors are fully transcoded.
#
# A null 'SpecialModules' value can mean either:
#   1) If 'Modules' is null, it can't be determined, or,
#   2) if 'Modules' is NOT null, there are no special modules.
#
#Refl   IPv4Address     IPv6Address                             Modules                    SpecialModules             Port   Source    
M17-D22 90.187.72.177   null                                    null                       null                       17000  dvref.com 
M17-DDI 74.32.197.9     null                                    null                       null                       17000  dvref.com 
M17-DEU 194.59.205.228  null                                    null                       null                       17000  dvref.com 
M17-DGN 87.1.0.40       null                                    null                       null                       17000  dvref.com 
M17-DMR 81.136.218.49   null                                    null                       null                       17000  dvref.com 
M17-EA1 80.211.29.226   null                                    null                       null                       17000  dvref.com 
M17-ECR 162.203.31.194  null                                    null                       null                       17000  dvref.com 
M17-EOH 155.138.214.16  2001:19f0:5401:25c9:5400:4ff:feb8:f471  BCX                        null                       17000  Ham-DHT   
M17-ESP 207.180.252.141 null                                    null                       null                       17000  dvref.com 
M17-FIN 130.255.76.139  2a02:e00:ffec:86a::a                    null                       null                       17000  dvref.com 
M17-FOG 95.179.203.54   2a05:f480:1000:ec4:5400:2ff:fee6:f0     null                       null                       17000  dvref.com 
M17-FRA 94.72.99.34     null                                    null                       null                       17000  dvref.com 
M17-FRH 51.75.194.162   null                                    null                       null                       17000  dvref.com 
M17-FRN 192.168.178.141 null                                    null                       null                       17000  dvref.com 
M17-FUR 45.76.29.81     null                                    null                       null                       17000  dvref.com 
M17-FVG 80.211.64.211   null                                    null                       null                       17000  dvref.com 
M17-GAX 51.83.78.210    null                                    null                       null                       17000  dvref.com 
M17-GR1 185.243.214.85  null                                    null                       null                       17000  dvref.com 
M17-GRN 92.107.7.227    2a02:1210:5410:9d00:1529:5365:2eeb:5a5a null                       null                       17000  dvref.com 
M17-GSP 37.143.206.229  null                                    null                       null                       17000  dvref.com 
M17-HAM 140.82.14.24    null                                    null                       null                       17000  dvref.com 
M17-HNC 47.62.127.2     null                                    null                       null                       17000  dvref.com 
M17-HRV 52.15.234.145   null                                    null                       null                       17000  dvref.com 
M17-HUB 81.187.19.200   null                                    null                       null                       17000  dvref.com 
M17-HWN 44.34.132.17    null                                    null                       null                       17000  dvref.com 
M17-IGX 62.84.190.249   null                                    null                       null                       17017  dvref.com 
M17-ILS 149.28.123.123  null                                    null                       null                       17000  dvref.com 
M17-IND 124.123.68.50   null                                    null                       null                       17000  dvref.com 
M17-IP6 null            2401:c080:2000:2c78:5400:4ff:fe51:7afe  ABCDEFGHIJKLMNOPQRSTUVXYZ  null                       17000  Ham-DHT   
M17-IRN 74.32.197.12    null                                    null                       null                       17000  dvref.com 
M17-IS0 51.254.206.201  2001:41d0:302:2200::3f43                null                       null                       17000  dvref.com 
M17-ITA 80.211.190.216  2a00:6d40:72:6dd8::1                    ABCDEFGJIKLMNOPQRSTUVXYZ   null                       17000  Ham-DHT   
M17-ITC 2.192.230.196   null                                    null                       null                       17000  dvref.com 
M17-ITD 188.213.168.69  null                                    null                       null                       17000  dvref.com 
M17-JAX 153.194.16.139  null                                    null                       null                       17000  dvref.com 
M17-JP1 219.117.204.205 null                                    null                       null                       17000  dvref.com 
M17-JPN 180.21.181.9    null                                    null                       null                       17000  dvref.com 
M17-JWG 67.175.64.113   null                                    null                       null                       17000  dvref.com 
M17-KOR 175.208.150.170 null                                    null                       null                       17000  dvref.com 
M17-KP4 24.48.232.244   null                                    null                       null                       17000  dvref.com 
M17-KPH 107.152.46.246  null                                    null                       null                       17000  dvref.com 
M17-KR1 158.247.215.135 2401:c080:1c01:561:5400:3ff:fed1:4192   null                       null                       17000  dvref.com 
M17-KRD 77.66.180.214   null                                    null                       null                       17000  dvref.com 
M17-KRG 155.138.212.8   null                                    null                       null                       17000  dvref.com 
M17-LAT 80.211.94.145   null                                    null                       null                       17000  dvref.com 
M17-LDV 80.211.99.134   null                                    null                       null                       17000  dvref.com 
M17-LEF 77.68.25.66     null                                    null                       null                       17000  dvref.com 
M17-LGE 213.211.189.28  null                                    null                       null                       17000  dvref.com 
M17-LIM 207.244.224.170 null                                    null                       null                       17000  dvref.com 
M17-LSC 75.182.2.162    null                                    null                       null                       17000  dvref.com 
M17-M17 152.70.192.70   2603:c020:4001:91ee::a1                 ABCDEFGHIJKLMNOPQRSTUVWXYZ E                          17000  Ham-DHT   
M17-MBK 104.145.237.90  null                                    null                       null                       17000  dvref.com 
M17-MEX 201.137.96.207  null                                    null                       null                       17000  dvref.com 
M17-MGB 165.73.249.152  null                                    null                       null                       17000  dvref.com 
M17-MJA 103.236.163.81  null                                    ABCDEFGHIJKLMNOPQRSTUVXYZ  null                       17000  Ham-DHT   
M17-N18 144.76.12.90    null                                    null                       null                       17000  dvref.com 
M17-NCA 74.91.114.88    null                                    ABCD                       null                       17000  Ham-DHT   
M17-NLD 51.83.46.75     null                                    null                       null                       17000  dvref.com 
M17-NOR 185.35.185.100  null                                    null                       null                       17000  dvref.com 
M17-NRG 78.83.115.219   null                                    null                       null                       17000  dvref.com 
M17-NWR 217.40.29.234   null                                    ABCDEF                     null                       17000  Ham-DHT   
M17-NYS 135.148.149.42  2604:2dc0:101:200::ded                  ABCDEFGHIJKLMNOPQRSTUVWXYZ null                       17000  Ham-DHT   
M17-NZD 152.67.100.199  null                                    ABCDEFGHIJK                null                       17000  Ham-DHT   
M17-NZL 149.28.165.127  null                                    null                       null                       17000  dvref.com 
M17-OAF 152.67.9.13     null                                    ABCDEFGJIKLMNOPQRSTUVXYZ   null                       17000  Ham-DHT   
M17-OFW 45.76.176.109   null                                    null                       null                       17000  dvref.com 
M17-OH6 130.255.76.76   null                                    null                       null                       17000  dvref.com 
M17-OKL 3.208.70.29     null                                    null                       null                       17000  dvref.com 
M17-OMO 216.155.132.139 null                                    null                       null                       17000  dvref.com 
M17-OSK 116.70.234.141  null                                    null                       null                       17000  dvref.com 
M17-OWL 185.188.4.15    null                                    null                       null                       17000  dvref.com 
M17-OZD 51.195.201.20   2001:41d0:801:2000::34f5                null                       null                       17000  dvref.com 
M17-PEG 5.9.59.26       null                                    null                       null                       17000  dvref.com 
M17-PER 190.117.233.28  null                                    null                       null                       17000  dvref.com 
M17-PHP 107.152.47.152  null                                    null                       null                       17000  dvref.com 
M17-PLC 87.252.188.119  null                                    null                       null                       17000  dvref.com 
M17-PLG 54.85.206.3     null                                    null                       null                       17000  dvref.com 
M17-PN1 212.72.212.183  null                                    null                       null                       17000  dvref.com 
M17-POL 51.38.132.8     2001:41d0:601:1100::30b7                null                       null                       17000  dvref.com 
M17-POR 89.115.89.54    2001:41d0:801:2000::468f                ABCDX                      null                       17000  Ham-DHT   
M17-PRT 198.244.234.7   2001:41d0:801:2000::468f                null                       null                       17000  dvref.com 
M17-QDR 118.47.146.80   null                                    null                       null                       17000  dvref.com 
M17-QUE 45.62.250.140   null                                    null                       null                       17000  dvref.com 
M17-RLX 85.243.199.245  null                                    BCX                        null                       17000  Ham-DHT   
M17-ROM 89.35.160.218   null                                    null                       null                       17000  dvref.com 
M17-RTX 93.41.233.12    null                                    null                       null                       17000  dvref.com 
M17-SCS 45.77.119.250   2001:19f0:9002:2e9:5400:3ff:feb7:f72d   null                       null                       17000  dvref.com 
M17-SEL 66.42.93.25     null                                    null                       null                       17000  dvref.com 
M17-SKY 65.114.195.171  null                                    null                       null                       17000  dvref.com 
M17-SLB 165.73.249.152  fe80::215:5dff:fed5:ba66                null                       null                       17000  dvref.com 
M17-SNI 192.168.1.18    null                                    null                       null                       17000  dvref.com 
M17-SPA 81.2.248.38     null                                    ABCDEFGHIJKLMNOPQRSTUVWXZ  null                       17000  Ham-DHT   
M17-SUN 155.138.244.192 null                                    null                       null                       17000  dvref.com 
M17-SVN 193.77.82.184   null                                    null                       null                       17000  dvref.com 
M17-SWD 45.32.239.121   2001:19f0:5001:e1c:5400:3ff:fe80:c8da   null                       null                       17000  dvref.com 
M17-SWE 44.140.63.12    2001:6b0:4b:3f01::12                    null                       null                       17000  dvref.com 
M17-TAR 150.136.4.138   2603:c020:4006:8e00:6d03:1009:be81:9c8a null                       null                       17000  dvref.com 
M17-THA 203.150.19.24   null                                    null                       null                       17000  dvref.com 
M17-TKO 52.192.129.174  2406:da14:337:3700:eb6:8a77:d95c:c69a   null                       null                       17000  dvref.com 
M17-TNT 68.183.19.139   null                                    null                       null                       17000  dvref.com 
M17-TSE 203.131.208.130 null                                    null                       null                       17000  dvref.com 
M17-TST 51.81.119.102   2604:2dc0:100:23a6::ba6                 null                       null                       17000  dvref.com 
M17-TUR 152.70.51.93    null                                    null                       null                       17000  dvref.com 
M17-TWN 114.34.207.164  null                                    null                       null                       17000  dvref.com 
M17-UA2 158.101.28.29   null                                    null                       null                       17000  dvref.com 
M17-UAX 178.136.51.229  null                                    null                       null                       17000  dvref.com 
M17-UK1 194.146.49.33   null                                    null                       null                       17000  dvref.com 
M17-UQK 100.38.158.68   null                                    null                       null                       17000  dvref.com 
M17-URG 23.234.239.179  null                                    null                       null                       17000  dvref.com 
M17-URU 23.234.239.179  null                                    null                       null                       17000  dvref.com 
M17-USA 135.148.148.180 2604:2dc0:101:200::1cc6                 ABCDEFGHIJKLMNOPQRSTUVWXYZ null                       17000  Ham-DHT   
M17-VK7 45.248.50.37    null                                    null                       null                       17000  dvref.com 
M17-WAL 192.248.172.148 2a05:f480:1000:80e:5400:3ff:fe7b:69f5   null                       null                       17000  dvref.com 
M17-WDG 107.152.39.89   null                                    null                       null                       17000  dvref.com 
M17-WTH 88.212.172.135  null                                    null                       null                       17000  dvref.com 
M17-WWD 192.99.70.1     null                                    null                       null                       17000  dvref.com 
M17-WWR 104.238.145.198 2001:19f0:6402:8d3:5400:4ff:fe7c:8dac   null                       null                       17000  dvref.com 
M17-XOR 168.119.171.247 null                                    ABCDEFGHIJKLMNOPQRSTUVWXYZ null                       17000  Ham-DHT   
M17-XVF 104.225.216.221 null                                    null                       null                       17000  dvref.com 
M17-YSF 177.131.119.153 null                                    null                       null                       17777  dvref.com 
M17-ZL3 119.224.19.178  null                                    null                       null                       17000  dvref.com 
M17-ZO9 198.245.55.177  2607:5300:201:3100::6208                null                       null                       17000  dvref.com 
URF001  80.190.85.142   null                                    A                          A                          17000  dvref.com 
URF045  70.44.20.24     null                                    A                          A                          17000  dvref.com 
URF106  73.190.23.244   null                                    null                       null                       17000  dvref.com 
URF111  13.211.58.195   null                                    null                       null                       17000  dvref.com 
URF239  147.79.74.69    null                                    ABCM                       A                          17000  Ham-DHT   
URF269  44.31.0.6       null                                    AKO                        A                          17000  Ham-DHT   
URF300  35.198.35.247   null                                    ABCD                       null                       17000  dvref.com 
URF307  72.21.76.154    2001:470:4b:e0::307                     ABCDW                      ACW                        17000  Ham-DHT   
URF421  152.53.85.93    null                                    D                          D                          17000  Ham-DHT   
URF478  35.232.151.255  null                                    ABCD                       ABC                        17000  Ham-DHT   
URF493  104.218.221.46  null                                    ABCDE                      null                       17000  dvref.com 
URF517  67.212.42.234   null                                    ABCDE                      A                          17000  Ham-DHT   
URF556  108.56.177.66   null                                    ABCDEFG                    ABC                        17000  Ham-DHT   
URF587  104.8.207.66    null                                    ABCDE                      ACE                        17000  Ham-DHT   
URF918  44.32.128.251   null                                    A                          A                          17000  Ham-DHT   
URF921  80.190.85.142   null                                    A                          A                          17000  dvref.com 
URF929  80.190.85.142   null                                    ABC                        ABC                        17000  Ham-DHT   
URF994  212.237.221.13  null                                    ADMS                       A                          17000  Ham-DHT   
URFBAT  62.84.190.249   null                                    EYZ                        null                       17000  dvref.com 
URFBRA  177.131.119.153 null                                    AD                         null                       17000  dvref.com 
URFDIG  149.56.147.144  null                                    A                          A                          17000  dvref.com 
URFNL1  141.95.54.250   null                                    ABDMNPY                    A                          17000  Ham-DHT   
URFPA7  207.244.224.170 null                                    A                          null                       17000  dvref.com 
